

                                                                                                                                                                                                                                 President of the United States
                                                            Donald J. Trump (I) (Rep)                                                                                                                             Joseph R. Biden (Dem)                                                                                                                                 Jo Jorgensen (Lib)                                                                                                                                    
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Walton                        9186                          6189                          22544                         15                            37934                         2159                          3899                          6054                          11                            12123                         50057                         
Totals:                       19885                         11120                         30546                         31                            61582                         9035                          14139                         18457                         32                            41663                         103245                        

                                                                          District Attorney - Appalachian
                                                            B. Alison Sosebee (I) (Rep)                                                                                                                           
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Fannin                        4239                          2696                          6132                          20                            13087                         13087                         
Gilmer                        4464                          2605                          7256                          11                            14336                         14336                         
Pickens                       6160                          2159                          6647                          7                             14973                         14973                         
Totals:                       14863                         7460                          20035                         38                            42396                         42396                         

                                                                              District Attorney - Atlanta
                                                            Fani Willis (Dem)                                                                                                                                     
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Fulton                        47839                         120294                        260135                        2782                          431050                        431050                        
Totals:                       47839                         120294                        260135                        2782                          431050                        431050                        

                                                                                                                                                         District Attorney - Augusta
                                                            Natalie Paine (I) (Rep)                                                                                                                               Jared T. Williams (Dem)                                                                                                                               
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Burke                         1934                          715                           2833                          0                             5482                          1436                          1760                          1790                          0                             4986                          10468                         
Columbia                      13797                         7968                          30659                         45                            52469                         4732                          8351                          13692                         26                            26801                         79270                         
Richmond                      8703                          7288                          12654                         29                            28674                         11733                         20084                         24876                         145                           56838                         85512                         
Totals:                       24434                         15971                         46146                         74                            86625                         17901                         30195                         40358                         171                           88625                         175250                        

                                                                           District Attorney - Blue Ridge
                                                            Shannon Wallace (I) (Rep)                                                                                                                             
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Cherokee                      27759                         26108                         65348                         22                            119237                        119237                        
Totals:                       27759                         26108                         65348                         22                            119237                        119237                        

                                                                                                                                                       District Attorney - Brunswick
                                                            Jackie Johnson (I) (Rep)                                                                                                                              Keith Higgins (Ind)                                                                                                                                   
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Appling                       1144                          679                           2694                          5                             4522                          845                           683                           1775                          6                             3309                          7831                          
Camden                        2946                          2031                          7973                          4                             12954                         1726                          2573                          4888                          2                             9189                          22143                         
Glynn                         2253                          2757                          8493                          15                            13518                         4379                          6730                          14868                         35                            26012                         39530                         
Jeff Davis                    1071                          457                           1998                          0                             3526                          513                           275                           1028                          0                             1816                          5342                          
Wayne                         1618                          1063                          3969                          6                             6656                          1256                          912                           3352                          2                             5522                          12178                         
Totals:                       9032                          6987                          25127                         30                            41176                         8719                          11173                         25911                         45                            45848                         87024                         

                                                                        District Attorney - Chattahoochee
                                                            Mark P. Jones (Dem)                                                                                                                                   
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Chattahoochee                 305                           219                           567                           3                             1094                          1094                          
Harris                        4016                          2675                          5056                          11                            11758                         11758                         
Marion                        633                           589                           1227                          0                             2449                          2449                          
Muscogee                      10050                         19478                         33198                         31                            62757                         62757                         
Talbot                        779                           954                           919                           1                             2653                          2653                          
Taylor                        466                           588                           1576                          7                             2637                          2637                          
Totals:                       16249                         24503                         42543                         53                            83348                         83348                         

                                                                             District Attorney - Cherokee
                                                            Rosemary M. Greene (I) (Rep)                                                                                                                          
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Bartow                        11338                         7902                          24058                         21                            43319                         43319                         
Gordon                        7273                          3020                          10441                         11                            20745                         20745                         
Totals:                       18611                         10922                         34499                         32                            64064                         64064                         

                                                           District Attorney - Clayton - Special Election
                                                            Tasha M. Mosley (I) (Dem)                                                                                                                             
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Clayton                       18632                         28512                         54528                         425                           102097                        102097                        
Totals:                       18632                         28512                         54528                         425                           102097                        102097                        

                                                                                                                                                  District Attorney - Cobb - Special
                                                            Flynn D. Broady, Jr. (Dem)                                                                                                                            Joyette Holmes (I) (Rep)                                                                                                                              
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Cobb                          28449                         81455                         87355                         294                           197553                        40117                         62861                         84076                         187                           187241                        384794                        
Totals:                       28449                         81455                         87355                         294                           197553                        40117                         62861                         84076                         187                           187241                        384794                        

                                                                            District Attorney - Conasauga
                                                            Bert Poston (I) (Rep)                                                                                                                                 
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Murray                        3951                          1553                          7830                          0                             13334                         13334                         
Whitfield                     10274                         4741                          15167                         48                            30230                         30230                         
Totals:                       14225                         6294                          22997                         48                            43564                         43564                         

                                                                               District Attorney - Coweta
                                                            Herb Cranford (I) (Rep)                                                                                                                               
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Carroll                       12842                         6706                          25941                         32                            45521                         45521                         
Coweta                        21303                         13373                         28315                         13                            63004                         63004                         
Heard                         1688                          779                           2277                          1                             4745                          4745                          
Meriwether                    2719                          1592                          3938                          4                             8253                          8253                          
Troup                         5972                          4254                          12850                         57                            23133                         23133                         
Totals:                       44524                         26704                         73321                         107                           144656                        144656                        

                                                                            District Attorney - Dougherty
                                                            Gregory W. Edwards (I) (Dem)                                                                                                                          
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Dougherty                     10008                         9361                          11436                         94                            30899                         30899                         
Totals:                       10008                         9361                          11436                         94                            30899                         30899                         

                                                                    District Attorney - Douglas - Special
                                                            Dalia Racine (Dem)                                                                                                                                    
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Douglas                       8370                          15638                         28284                         47                            52339                         52339                         
Totals:                       8370                          15638                         28284                         47                            52339                         52339                         

                                                                                                                                                          District Attorney - Dublin
                                                            Craig Fraser (I) (Rep)                                                                                                                                Adriane Latrell Love (Dem)                                                                                                                            
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Johnson                       686                           329                           1642                          0                             2657                          277                           406                           658                           0                             1341                          3998                          
Laurens                       5042                          2355                          5937                          2                             13336                         2437                          2674                          3899                          4                             9014                          22350                         
Treutlen                      330                           249                           1149                          0                             1728                          205                           327                           743                           0                             1275                          3003                          
Twiggs                        787                           319                           1157                          1                             2264                          441                           695                           885                           3                             2024                          4288                          
Totals:                       6845                          3252                          9885                          3                             19985                         3360                          4102                          6185                          7                             13654                         33639                         

                                                                                                                                                         District Attorney - Eastern
                                                            Meg Daly Heap (I) (Rep)                                                                                                                               Shalena Cook Jones (Dem)                                                                                                                              
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Chatham                       19534                         16569                         25415                         100                           61618                         16831                         23780                         28273                         181                           69065                         130683                        
Totals:                       19534                         16569                         25415                         100                           61618                         16831                         23780                         28273                         181                           69065                         130683                        

                                                                                District Attorney - Flint
                                                            Darius Pattillo (I) (Dem)                                                                                                                             
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Henry                         12530                         23682                         58108                         79                            94399                         94399                         
Totals:                       12530                         23682                         58108                         79                            94399                         94399                         

                                                                                                                         District Attorney - Gwinnett/Fiscal del Distrito - Gwinnett
                                                            Daniel J. ""Danny"" Porter (I) (Rep)                                                                                                                  Patsy Austin-Gatson (Dem)                                                                                                                             
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Gwinnett                      36184                         46855                         94516                         245                           177800                        34472                         73147                         118176                        382                           226177                        403977                        
Totals:                       36184                         46855                         94516                         245                           177800                        34472                         73147                         118176                        382                           226177                        403977                        

                                                                                                                                                         District Attorney - Houston
                                                            George Hartwig (I) (Rep)                                                                                                                              Erikka B. Williams (Dem)                                                                                                                              
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Houston                       10479                         8140                          19404                         44                            38067                         7548                          11689                         15965                         47                            35249                         73316                         
Totals:                       10479                         8140                          19404                         44                            38067                         7548                          11689                         15965                         47                            35249                         73316                         

                                                                     District Attorney - Lookout Mountain
                                                            Chris A. Arnt (Rep)                                                                                                                                   
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Catoosa                       5644                          3723                          18477                         21                            27865                         27865                         
Chattooga                     2607                          1339                          4754                          6                             8706                          8706                          
Dade                          2066                          755                           3509                          5                             6335                          6335                          
Walker                        5989                          4288                          14942                         8                             25227                         25227                         
Totals:                       16306                         10105                         41682                         40                            68133                         68133                         

                                                                                District Attorney - Macon
                                                            Anita Reynolds Howard (Dem)                                                                                                                           
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Bibb                          13130                         16033                         26760                         136                           56059                         56059                         
Crawford                      936                           780                           2361                          2                             4079                          4079                          
Peach                         1362                          2057                          5852                          8                             9279                          9279                          
Totals:                       15428                         18870                         34973                         146                           69417                         69417                         

                                                                               District Attorney - Middle
                                                            Tripp Fitzner (Rep)                                                                                                                                   
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Candler                       544                           546                           2611                          0                             3701                          3701                          
Emanuel                       2855                          1193                          3538                          1                             7587                          7587                          
Jefferson                     1465                          749                           2427                          8                             4649                          4649                          
Toombs                        2091                          1588                          5298                          6                             8983                          8983                          
Washington                    1855                          1318                          3016                          5                             6194                          6194                          
Totals:                       8810                          5394                          16890                         20                            31114                         31114                         

                                                                             District Attorney - Mountain
                                                            George R. Christian (I) (Rep)                                                                                                                         
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Habersham                     2899                          3270                          11656                         16                            17841                         17841                         
Rabun                         1301                          2031                          4914                          0                             8246                          8246                          
Stephens                      1380                          1668                          7168                          3                             10219                         10219                         
Totals:                       5580                          6969                          23738                         19                            36306                         36306                         

                                                                             District Attorney - Northern
                                                            Parks White (I) (Rep)                                                                                                                                 
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Elbert                        1985                          1448                          3861                          0                             7294                          7294                          
Franklin                      2449                          1646                          5627                          1                             9723                          9723                          
Hart                          2579                          1888                          6189                          3                             10659                         10659                         
Madison                       3906                          2189                          6681                          3                             12779                         12779                         
Oglethorpe                    1250                          1219                          4004                          2                             6475                          6475                          
Totals:                       12169                         8390                          26362                         9                             46930                         46930                         

                                                                             District Attorney - Ocmulgee
                                                            T. Wright Barksdale (Rep)                                                                                                                             
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Baldwin                       2764                          2371                          8077                          2                             13214                         13214                         
Greene                        1191                          1949                          5980                          5                             9125                          9125                          
Hancock                       599                           648                           1111                          2                             2360                          2360                          
Jasper                        1684                          1108                          3843                          12                            6647                          6647                          
Jones                         3452                          2047                          6777                          5                             12281                         12281                         
Morgan                        2176                          1387                          6312                          4                             9879                          9879                          
Putnam                        1821                          2415                          5702                          0                             9938                          9938                          
Wilkinson                     1501                          430                           1487                          6                             3424                          3424                          
Totals:                       15188                         12355                         39289                         36                            66868                         66868                         

                                                                               District Attorney - Oconee
                                                            Timothy G. Vaughn (I) (Rep)                                                                                                                           
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Bleckley                      1107                          755                           2991                          1                             4854                          4854                          
Dodge                         2385                          917                           3030                          5                             6337                          6337                          
Montgomery                    1186                          469                           1603                          0                             3258                          3258                          
Pulaski                       404                           422                           2425                          1                             3252                          3252                          
Telfair                       994                           479                           1614                          5                             3092                          3092                          
Wheeler                       535                           248                           1021                          0                             1804                          1804                          
Totals:                       6611                          3290                          12684                         12                            22597                         22597                         

                                                                             District Attorney - Ogeechee
                                                            Daphne Jarriel Totten (Rep)                                                                                                                           
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Bulloch                       8015                          4256                          11678                         34                            23983                         23983                         
Effingham                     8375                          3510                          14893                         18                            26796                         26796                         
Jenkins                       716                           488                           1414                          3                             2621                          2621                          
Screven                       1498                          776                           2541                          12                            4827                          4827                          
Totals:                       18604                         9030                          30526                         67                            58227                         58227                         

                                                                             District Attorney - Piedmont
                                                            Brad Smith (I) (Rep)                                                                                                                                  
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Banks                         1706                          1115                          5196                          11                            8028                          8028                          
Barrow                        6954                          5657                          19325                         4                             31940                         31940                         
Jackson                       5637                          5623                          22045                         6                             33311                         33311                         
Totals:                       14297                         12395                         46566                         21                            73279                         73279                         

                                                                                 District Attorney - Rome
                                                            Leigh E. Patterson (I) (Rep)                                                                                                                          
County                        Election Day Votes            Absentee by Mail Votes        Advanced Voting Votes         Provisional Votes             Choice Total                  Total                         
Floyd                         9008                          6212                          19436                         133                           34789                         34789                         
Totals:                       9008                          6212                          19436                         133                           34789                         34789                         

                                                                        District Attorney - South Georgia
                                                            Joe Mulholland (I) (Rep)                                                                                                                              
